"","ï..plot","rep","irrigation","date","reading_1","reading_2","irr_time","outflow_gal","notes","inf.avg.sec","inf.avg.gpm","inf.gal.trt","inf.acreft.trt","inf.acrein.trt","inf.in.trt","inf.mm.trt","out.acreft.trt","out.acrein.trt","out.in.trt","out.mm.trt","infiltration.in","infiltration.mm","infiltration.rate.mmhr","bad_eff"
"1","CT",1,1,2020-06-23,8.025,7.495,12.5,1531.130549,"assuming 12.5 hr set times for all irrigation events",7.76,14.7064824742268,11029.8618556701,0.0406880573993814,0.488256688792577,4.05113549786756,0.159493523538093,0.0056481874822061,0.0677782497864732,0.56236582108548,0.0221403866569087,3.48876967678208,88.6147497902647,7.08917998322118,86.1183161762548
"2","CT",2,1,2020-06-24,7.94,8.93,12.5,760.5281632,"",8.435,13.5296151748666,10147.21138115,0.0374320480639241,0.44918457676709,3.72694860266179,0.146730259947315,0.00280551234122848,0.0336661480947418,0.2793328401918,0.010997355913063,3.44761576246999,87.5694403667379,7.00555522933903,92.5050525249449
"3","MT",1,1,2020-06-23,6.495,7.615,12.5,2851.955517,"",7.055,16.1760884479093,12132.066335932,0.0447539795066194,0.537047754079433,4.45596193670478,0.175431572311212,0.0105205787066613,0.126246944479936,1.04748893362781,0.0412397217963704,3.40847300307697,86.5752142781551,6.92601714225241,76.4924173835642
"4","MT",2,1,2020-06-24,5.27,6.355,12.5,2613.05456,"",5.8125,19.6339447741936,14725.4585806452,0.0543207441581419,0.651848929897703,5.40848369263694,0.212932428843974,0.009639296966384,0.115671563596608,0.959743487670142,0.0377851766799268,4.4487402049668,112.998001206157,9.03984009649254,82.2548510412128
"5","ST",1,1,2020-06-23,4.66,4.46,12.5,6053.160907,"",4.56,25.0268210526316,18770.1157894737,0.0692410801357895,0.830892961629474,6.89403760163426,0.271418803213947,0.0223295052698323,0.267954063237988,2.22325314183747,0.0875296512534439,4.67078445979679,118.637925278838,9.49103402230707,67.7510731692203
"6","ST",2,1,2020-06-24,6.345,5.555,12.5,1415.489626,"",5.95,19.1802191596639,14385.1643697479,0.053065432843563,0.636785194122756,5.28349772494996,0.208011721454723,0.0052215996813514,0.0626591961762168,0.51989230198781,0.0204682008656618,4.76360542296215,120.995577743239,9.67964621945908,90.160073325427
"7","CT",1,2,2020-07-08,7.34,6.54,12.5,2317.56511,"",6.94,16.4441360230548,12333.1020172911,0.045495580031585,0.54594696037902,4.52979992268764,0.178338579633372,0.008549265934279,0.102591191211348,0.851213769365013,0.0335123531246068,3.67858615332263,93.4360882943948,7.47488706355158,81.2085791007748
"8","CT",2,2,2020-07-09,6.72,6.235,12.5,805.6305922,"",6.4775,17.6182638363566,13213.6978772675,0.048744010099452,0.584928121193424,4.85323218270201,0.191072133177244,0.00297189069156658,0.035662688298799,0.295898419484892,0.0116495440742083,4.55733376321711,115.756277585715,9.26050220685717,93.9030648370886
"9","MT",1,2,2020-07-08,7.315,5.6,12.5,2533.846524,"",6.4575,17.6728306620209,13254.6229965157,0.0488949787718467,0.58673974526216,4.86826348640375,0.191663916787549,0.0093471064423836,0.112165277308603,0.930651329440525,0.0366398161197057,3.93761215696323,100.015348786866,8.00122790294928,80.8832999273832
"10","MT",2,2,2020-07-09,5.485,5.51,12.5,2895.912971,"",5.4975,20.7589457025921,15569.2092769441,0.057433256101719,0.689199073220627,5.71838316752201,0.225133195571733,0.0106827333587219,0.128192800304663,1.06363397738497,0.0418753534403533,4.65474919013703,118.230629429481,9.45845035435845,81.3997427904803
"11","ST",1,2,2020-07-08,5.91,5.86,12.5,2635.5703,"",5.885,19.3920652506372,14544.0489379779,0.0536515421273067,0.64381850552768,5.34185411443538,0.210309217103755,0.00972235527967,0.11666826335604,0.968013247959829,0.0381107577936941,4.37384086647555,111.095558008479,8.88764464067833,81.8787030266523
"12","ST",2,2,2020-07-09,6.31,5.095,12.5,263.5162025,"",5.7025,20.0126793511618,15009.5095133713,0.0553685796438755,0.664422955726506,5.51281218122792,0.217039849654643,0.00097208491940225,0.011665019032827,0.096786329346656,0.00381048540734866,5.41602585188127,137.567056637784,11.0053645310227,98.2443383491963
"13","CT",1,3,2020-07-29,9.325,10.28,12.5,1590.420414,"",9.8025,11.6421631216526,8731.62234123948,0.0322100816545983,0.38652097985518,3.20701978714126,0.126260621540995,0.0058669018652046,0.0704028223824552,0.584142274853285,0.0229977273564286,2.62287751228798,66.6210888121147,5.32968710496917,81.7855107350619
"14","CT",2,3,2020-07-30,6.62,6.83,12.5,0,"not sure what happened for rep2 here",6.725,16.969859330855,12727.3944981413,0.0469500855641933,0.56340102677032,4.67461880497431,0.18404011043206,0,0,0,0,4.67461880497431,118.735317646347,9.4988254117078,100
"15","MT",1,3,2020-07-29,8.13,7.255,12.5,1360.917584,"",7.6925,14.8355286317842,11126.6464738382,0.0410450861773416,0.492541034128099,4.08668332316571,0.160893044219122,0.0050202888756176,0.0602434665074112,0.499848647821492,0.0196790806228934,3.58683467534422,91.1056007537432,7.28844806029945,87.7688431352618
"16","MT",2,3,2020-07-30,5.69,6.545,12.5,0,"not sure what happened for rep2 here",6.1175,18.6550558234573,13991.291867593,0.0516124765703637,0.619349718844365,5.13883309578296,0.202316263613502,0,0,0,0,5.13883309578296,130.526360632887,10.442108850631,100
"17","ST",1,3,2020-07-29,6.875,6.95,12.5,945.2091677,"",6.9125,16.5095557323689,12382.1667992767,0.0456765751058517,0.548118901270221,4.5478208265392,0.179048064036976,0.00348678209872853,0.0418413851847424,0.347163950218548,0.0136678720558483,4.20065687632065,106.696684658545,8.53573477268357,92.366367025881
"18","ST",2,3,2020-07-30,7.685,5.94,12.5,0,"not sure what happened for rep2 here",6.8125,16.7518978348624,12563.9233761468,0.0463470569422679,0.556164683307215,4.61457782949758,0.181676292499905,0,0,0,0,4.61457782949758,117.210276869238,9.37682214953907,100
"19","CT",1,4,2020-08-12,7.545,8.115,12.5,1933.936122,"",7.83,14.5750068965517,10931.2551724138,0.0403243072055172,0.483891686466207,4.0149184499939,0.158067655511571,0.0071340969604458,0.0856091635253496,0.710311459650329,0.0279650180964697,3.30460699034357,83.9370175547267,6.71496140437813,82.3081970780401
"20","CT",2,4,2020-08-13,6.735,5.725,12.5,1743.216418,"",6.23,18.3181868378812,13738.6401284109,0.050680469569695,0.60816563483634,5.04603715304209,0.198662880041027,0.0064305510443602,0.0771666125323224,0.640262407982469,0.0252071814166327,4.40577474505962,111.906678524514,8.95253428196115,87.3115795907988
"21","MT",1,4,2020-08-12,7.92,6.895,12.5,1458.940062,"",7.4075,15.4063184610192,11554.7388457644,0.0426242761281404,0.511491313537685,4.24391649860982,0.167083326716922,0.0053818839947118,0.0645826079365416,0.535851124136334,0.0210965009502494,3.70806537447349,94.1848605116265,7.53478884093012,87.3736647666875
"22","MT",2,4,2020-08-13,7.015,6.075,12.5,1533.300304,"",6.545,17.4365628724217,13077.4221543163,0.0482413025850573,0.578895631020688,4.8031797499545,0.189101564958839,0.0056561914914256,0.0678742978971072,0.56316274598057,0.0221717616527783,4.24001700397393,107.696431900938,8.61571455207504,88.2752098547654
"23","ST",1,4,2020-08-12,7.275,6.695,12.5,361.4883034,"",6.985,16.3381967072298,12253.6475304223,0.045202480374975,0.542429764499699,4.50061724602036,0.177189655355132,0.00133349420241226,0.0160019304289471,0.132770302759036,0.00522717727397778,4.36784694326133,110.943312358838,8.87546498870702,97.0499534730167
"24","ST",2,4,2020-08-13,8.065,8.515,12.5,186.8618052,"",8.29,13.7662610373945,10324.6957780458,0.0380867702556333,0.4570412430676,3.79213648533803,0.149296712021182,0.00068931451320228,0.00827177415842736,0.0686320918744944,0.00270205086120057,3.72350439346353,94.5770115939737,7.5661609275179,98.1901471073139
"25","CT",1,5,2020-08-25,6.52,6.065,12.5,2394.121691,"",6.2925,18.136242193087,13602.1816448153,0.050177087869559,0.602125054434708,4.99591759450969,0.196689669075185,0.0088316755059299,0.105980106071159,0.879332080087558,0.0346193732317936,4.11658551442213,104.561272066322,8.36490176530578,82.3989875042393
"26","CT",2,5,2020-08-26,6.72,5.545,12.5,2469.034224,"",6.1325,18.609425845903,13957.0693844272,0.0514862332522136,0.617834799026563,5.12626358963754,0.201821401166832,0.0091080203489136,0.109296244186963,0.906846551768403,0.0357026201483623,4.21941703786914,107.173192761876,8.57385542095009,82.3097947284345
"27","MT",1,5,2020-08-25,8.76,6.46,12.5,1268.613776,"",7.61,14.9963605781866,11247.2704336399,0.0414900559026544,0.497880670831853,4.130987051702,0.162637285500079,0.0046797893582864,0.0561574722994368,0.46594657016447,0.0183443531560815,3.66504048153753,93.0920282310533,7.44736225848426,88.7206964259911
"28","MT",2,5,2020-08-26,6.11,6.135,12.5,1978.599806,"",6.1225,18.6398209881584,13979.8657411188,0.0515703267324132,0.618843920788959,5.13463641706039,0.202151040041748,0.0072988568243534,0.0875862818922408,0.726715893185907,0.028610861936453,4.40792052387448,111.961181306412,8.95689450451295,85.846789642762
"29","ST",1,5,2020-08-25,8.275,8.72,12.5,125.1145198,"",8.4975,13.4301034421889,10072.5775816417,0.0371567314409179,0.445880777291015,3.69953650643745,0.14565104356053,0.00046153495209022,0.00553841942508264,0.0459530571726857,0.00180917547923959,3.65358344926477,92.801019611325,7.424081568906,98.7578698820048
"30","ST",2,5,2020-08-26,5.785,4.78,12.5,63.21419419,"",5.2825,21.6038436346427,16202.882725982,0.059770814087875,0.717249769054501,5.95112379809791,0.23429621252354,0.000233190840947491,0.00279829009136989,0.0232178126438233,0.000914087111961549,5.92790598545409,150.568812030534,12.0455049624427,99.6098583489182
"31","CT",1,6,2020-09-09,6.715,6.84,12.5,2121.182911,"",6.7775,16.8384070822575,12628.8053116931,0.0465863999143047,0.559036798971656,4.63840818346769,0.182614495412114,0.0078248316403879,0.0938979796846548,0.779084951440679,0.0306726358834913,3.85932323202701,98.026810093486,7.84214480747888,83.2036138126543
"32","CT",2,6,2020-09-10,0,0,12.5,0,"not sure what happened for rep2 here",0,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,Inf,Inf,Inf,100
"33","MT",1,6,2020-09-09,9.125,10.16,12.5,3535.033971,"",9.6425,11.8353439460721,8876.50795955406,0.032744550211999,0.392934602543988,3.26023453082211,0.128355690189847,0.0130403868156219,0.156484641787463,1.29837542785941,0.0511171428291105,1.96185910296271,49.8312212152528,3.98649769722022,60.1753979480733
"34","MT",2,6,2020-09-10,0,0,12.5,0,"not sure what happened for rep2 here",0,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,Inf,Inf,Inf,100
"35","ST",1,6,2020-09-09,7.935,6.17,12.5,0,"not sure what happened for rep1 here",7.0525,16.1818226160936,12136.3669620702,0.0447698440863807,0.537238129036569,4.45754150492056,0.175493760036242,0,0,0,0,4.45754150492056,113.221554224982,9.05772433799857,100
"36","ST",2,6,2020-09-10,0,0,12.5,0,"not sure what happened for rep2 here",0,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,Inf,Inf,Inf,100
